Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP2995007D,210001992,Montgomery County Police,Injury Crash,01/16/2021 03:57:00 PM,Maryland (State),GEORGIA AVE,LAYHILL RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,030F6778-2284-4B87-A47B-4066EEA8A585,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,CFDD1A14-D1BE-40D9-9C4B-0855A5786ECF,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2005,MINI,COOPER,39.05926167,-77.05041333,"(39.05926167, -77.05041333)"
MCP2160001V,200002000,Montgomery County Police,Injury Crash,01/12/2020 03:25:00 PM,Maryland (State),WOODFIELD RD,LINDBERGH DR,,,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,AB1BAB9D-7853-42B6-AC07-7763761276E1,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,B15A9966-A40C-4B35-9D0A-9512355ED4C7,DISABLING,TWELVE OCLOCK,MOTORCYCLE,MOVING CONSTANT SPEED,South,45,No,No,2015,HARLEY DAVIDSON,MC,39.16436167,-77.15736667,"(39.16436167, -77.15736667)"
DD5610008H,230064198,Rockville Police Departme,Injury Crash,11/03/2023 02:53:00 PM,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,EF2320FB-9D8D-4103-B7CA-578EEF30C032,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,BF69EB1C-A672-41B9-96E5-818218AA399B,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,20,No,No,2000,TOYT,4S,39.07507983,-77.11558417,"(39.07507983, -77.11558417)"
MCP2954007C,190044963,Montgomery County Police,Property Damage Crash,09/19/2019 06:06:00 PM,Maryland (State),PINEY BRANCH RD,NO NAME,,,,SAME DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,STOP SIGN,NONE DETECTED,,06FD71FD-03AB-43EF-983B-CF69C3CC99E6,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,EC3EDDC5-E2B3-44A8-8905-8393F2697C25,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2008,GMC,ARCADIA,39.00126333,-76.98600667,"(39.00126333, -76.98600667)"
MCP3254002B,220036226,Montgomery County Police,Property Damage Crash,08/22/2022 12:40:00 PM,Maryland (State),GREAT SENECA HWY,WISTERIA DR,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,67EE94EF-09F5-47DA-A681-284E7F530FF2,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,BA6DD43D-3640-4097-BE7E-16915F338D5F,DESTROYED,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,35,No,No,2015,TOYOTA,RAV4,39.17094,-77.26286,"(39.17094, -77.26286)"
MCP29140016,15019399,Montgomery County Police,Property Damage Crash,04/24/2015 08:05:00 PM,Maryland (State),NEW HAMPSHIRE AVE,CHALMERS RD,,,,OTHER,CLEAR,,DARK LIGHTS ON,TRAFFIC SIGNAL,,,7B615C73-808F-46E9-9E70-187C495C77E1,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DDC34CF0-3758-4419-BEEC-EDF750284D66,SUPERFICIAL,SIX OCLOCK,PICKUP TRUCK,STOPPED IN TRAFFIC LANE,North,40,No,No,2015,GMC,TRUCK,39.046635,-76.98782,"(39.046635, -76.98782)"
MCP2244003M,210021245,Montgomery County Police,Property Damage Crash,06/03/2021 11:01:00 AM,,,,"PARKING LOT OF 100 EDISON PARK DRIVE GAITHERSBURG, MD 20878",,,UNKNOWN,CLEAR,,DAYLIGHT,,UNKNOWN,,0C606076-0A67-41F5-835D-CF3DF073F429,Yes,NO APPARENT INJURY,,UNKNOWN,,012A5DE5-258C-4F2D-9AC4-3C596E970D13,UNKNOWN,UNKNOWN,,UNKNOWN,Unknown,0,No,No,0,UNKNOWN,UNKNOWN,39.11383698,-77.23645376,"(39.11383698, -77.23645376)"
MCP2937005J,240031149,MONTGOMERY,Property Damage Crash,07/01/2024 11:45:00 PM,Maryland (State) Route,NEW HAMPSHIRE AVE (SB/L),DILSTON RD,,,,Front to Front,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,BFCCA73F-2ED7-48CC-8D1A-DC06A1426F6C,Yes,No Apparent Injury,Improper Turn,Not Distracted,MD,628F6417-CA87-4F46-AC1C-1EB144C70A67,Functional,Eleven O Clock,Passenger Car,Turning Right,Eastbound,35,No,No,2022,CHEVROLET,EQUINOX,39.01144533,-76.97916033,"(39.01144533, -76.97916033)"
MCP2866007F,210045449,Montgomery County Police,Injury Crash,11/09/2021 06:20:00 PM,Maryland (State),BRADLEY BLVD,ARLINGTON RD,,,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,NONE DETECTED,,9EAFCDDA-EF71-44FB-BE47-023608C7C55A,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,F4CAC809-D81D-4D7A-B051-A4EEA4C7712D,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,25,No,No,2018,GMC,YUKON,38.97814323,-77.09854998,"(38.97814323, -77.09854998)"
MCP25980016,17005124,Montgomery County Police,Property Damage Crash,01/29/2017 08:38:00 PM,Maryland (State),GEORGIA AVE,FOREST GLEN RD,,,,HEAD ON LEFT TURN,CLEAR,,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,71D2CD80-9A3C-4E2F-BAB7-2EC9D4E6DA5F,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,99C9C71A-2A40-4AE0-92D4-ECCCED172F14,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2012,TOYOTA,CAMRY,39.01564333,-77.04257333,"(39.01564333, -77.04257333)"
DM8479000H,200016218,Takoma Park Police Depart,Property Damage Crash,04/16/2020 05:30:00 PM,,,,PARKING LOT,,,OTHER,CLEAR,,DAYLIGHT,,UNKNOWN,,0C5A5846-BAF2-4D7D-A70F-E92D821017C2,Yes,NO APPARENT INJURY,,UNKNOWN,,38F07F52-37C5-4432-A488-43467595478E,UNKNOWN,SEVEN OCLOCK,PASSENGER CAR,BACKING,East,5,No,No,2012,TOYOTA,CORROLA,38.98667439,-76.98763756,"(38.98667439, -76.98763756)"
MCP1020005P,200049494,Montgomery County Police,Property Damage Crash,12/16/2020 11:04:00 AM,Maryland (State),WOODFIELD RD,WOODFIELD SCHOOL RD,,,,STRAIGHT MOVEMENT ANGLE,SNOW,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,,FBEFA96A-D427-488A-BF2B-E67A4D2B70F9,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,1A83D70C-E95D-4475-A393-744E9C2FDB78,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,30,No,No,2009,CHEV,IMPALA,39.24891833,-77.19287167,"(39.24891833, -77.19287167)"
MCP2846005Q,190053306,Montgomery County Police,Property Damage Crash,11/05/2019 03:45:00 PM,Maryland (State),UNIVERSITY BLVD W,REEDIE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,26A5E6DA-34C4-43C7-A276-9F23AD45E256,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,7829CAF7-327A-45F7-B903-D0D4085B7BF4,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,CHANGING LANES,East,35,No,No,1999,HONDA,CRV,39.03994665,-77.04297494,"(39.03994665, -77.04297494)"
EJ7878001J,200023318,Gaithersburg Police Depar,Property Damage Crash,06/14/2020 05:42:00 AM,Municipality,STORY DR,SCHOOL DR,,GAITHERSBURG,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,5D73CB25-DCF9-4E07-B60A-77710FD5A8D3,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,896160C2-FE42-4D02-82D1-BBFBDB35060E,DISABLING,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,25,No,No,1998,TOYT,4S,39.11860834,-77.21246633,"(39.11860834, -77.21246633)"
MCP27990084,240058901,MONTGOMERY,Injury Crash,12/09/2024 05:20:00 PM,Maryland (State) Route,BURLINGTON AVE,,,,,Front to Front,Clear,Wet,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,61586282-D31A-4D51-8140-168934440BAF,No,Suspected Minor Injury,,Not Distracted,DC,86442DC7-22F5-4946-8024-FC93D5DB63F7,Functional,Eleven O Clock,Passenger Car,Moving Constant Speed,Eastbound,30,No,No,2018,TOYOTA,CAMRY,38.98741817,-77.02571283,"(38.98741817, -77.02571283)"
DM8457001P,190030718,Takoma Park Police Depart,Property Damage Crash,06/23/2019 04:10:00 PM,Municipality,MERWOOD DR,NEW HAMPSHIRE AVE,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,A2419A11-825A-40F1-9507-1E621583EDA2,Yes,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",LOOKED BUT DID NOT SEE,MD,ED251D7C-EC38-427B-B420-53FBC730A4C9,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,CHANGING LANES,North,35,No,No,1995,TOYOTA,COROLLA,38.98336745,-76.98830339,"(38.98336745, -76.98830339)"
MCP2900003K,210011738,Montgomery County Police,Injury Crash,03/29/2021 03:50:00 PM,County,LAKE SHORE DR,MONTGOMERY VILLAGE AVE,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,,,79F15960-E01F-4A6A-8DED-52DD630CFBD4,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,8A91C142-149D-4E83-8FB2-7D26CE44A7A8,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,35,No,No,2016,FORD,FIESTA,39.18847357,-77.19769502,"(39.18847357, -77.19769502)"
MCP1389002M,190058902,Montgomery County Police,Injury Crash,12/06/2019 07:05:00 PM,,,,PARKING LOT / SIDEWALK IN FRONT OF 451 NORTH FREDERICK AVENUE,,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,,DARK LIGHTS ON,,NONE DETECTED,NONE DETECTED,ED22EAF8-7C20-4E44-BBD2-AEC3B69C12C8,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,ADD43074-E4DD-4AF6-96D0-6ABBA3469D61,SUPERFICIAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,West,15,No,No,2007,MERCEDES,ML350,39.14816833,-77.20596,"(39.14816833, -77.20596)"
MCP33470031,250034358,MONTGOMERY,Property Damage Crash,08/02/2025 12:23:00 AM,County Route,TOWNE RD,MONTROSE PKWY,,,,Angle,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,33001D5E-524E-405A-AC06-1047D5709622,Yes,No Apparent Injury,Ran Red Light,Unknown,MD,8C3EDDF8-E4F5-44D1-8B38-E14FE9E2A927,Disabling,Twelve O Clock,Passenger Car,Moving Constant Speed,Southbound,35,No,No,2009,LEXUS,ES,39.05182144,-77.11860102,"(39.05182144, -77.11860102)"
